,station,latitude,longitude
59,465,40.75513557,-73.98658032
88,466,40.74395411,-73.99144871
7145,467,40.68312489,-73.97895137
510,468,40.7652654,-73.98192338
209,469,40.76344058,-73.98268129
85,470,40.74345335,-74.00004031
1030,471,40.71286844,-73.95698119
443,472,40.7457121,-73.98194829
47,473,40.72110063,-73.9919254
856,474,40.7451677,-73.98683077
3,475,40.73524276,-73.98758561
28,476,40.74394314,-73.97966069
42,477,40.75640548,-73.9900262
184,478,40.76030096,-73.99884222
163,479,40.76019252,-73.9912551
25,480,40.76669671,-73.99061728
97,481,40.71260486,-73.96264403
32,482,40.73935542,-73.99931783
755,483,40.73223272,-73.98889957
5423,484,40.75500254,-73.98014437
5,485,40.75038009,-73.98338988
16,486,40.7462009,-73.98855723
612,487,40.73314259,-73.97573881
129,488,40.75645824,-73.99372222
20,489,40.75066386,-74.00176802
64,490,40.751551,-73.993934
867,491,40.74096374,-73.98602213
72,492,40.75019995,-73.99093085
46,493,40.7568001,-73.98291153
22,494,40.74734825,-73.99723551
277,495,40.76269882,-73.99301222
2365,496,40.73726186,-73.99238967
406,497,40.73704984,-73.99009296
293,498,40.74854862,-73.98808416
1128,499,40.76915505,-73.98191841
259,500,40.76228826,-73.98336183
1054,501,40.744219,-73.97121214
14,502,40.714215,-73.981346
18,503,40.73827428,-73.98751968
96,504,40.73221853,-73.98165557
67,505,40.74901271,-73.98848395
405,507,40.73912601,-73.97973776
114,508,40.76341379,-73.99667444
8,509,40.7454973,-74.00197139
70,510,40.7606597,-73.98042047
382,511,40.72938685,-73.97772429
335,512,40.7500727,-73.99839279
1198,513,40.768254,-73.988639
131,514,40.76087502,-74.00277668
330,515,40.76009437,-73.99461843
178,516,40.75206862,-73.96784384
52,517,40.751581,-73.97791
169,518,40.74780373,-73.9734419
550,519,40.751873,-73.977706
1310,520,40.75992262,-73.97648516
62,521,40.75096735,-73.99444208
414,522,40.75714758,-73.97207836
210,523,40.75466591,-73.99138152
4410,524,40.75527307,-73.98316936
430,525,40.75594159,-74.0021163
1438,526,40.74765947,-73.98490707
17,527,40.744023,-73.976056
121,528,40.74290902,-73.97706058
809,529,40.7575699,-73.99098507
505,530,40.771522,-73.990541
35,531,40.71893904,-73.99266288
81,532,40.710451,-73.960876
796,533,40.75299641,-73.98721619
269,534,40.70255065,-74.0127234
570,536,40.74144387,-73.97536082
620,537,40.74025878,-73.98409214
1432,538,40.75666,-73.976684
188,539,40.71534825,-73.96024116
352,540,40.74311555,-73.98215353
1087,545,40.736502,-73.97809472
1313,546,40.74444921,-73.98303529
943,2000,40.70255088,-73.98940236
3882,2001,40.699773,-73.979927
2296,2002,40.716887,-73.963198
704,2003,40.73381219,-73.98054421
53,2004,40.724399,-74.004704
3502,2005,40.70531194,-73.97100056
516,2006,40.76590936,-73.97634151
4,2008,40.70569254,-74.01677685
75,2009,40.71117444,-73.99682619
1416,2010,40.72165481,-74.00234737
325,2012,40.739445,-73.976806
1459,2021,40.75929124,-73.98859651
113,2022,40.759107,-73.959223
1216,2023,40.75968085,-73.97031366
68447,3000,40.755467,-73.986536
509,3002,40.711512,-74.015756
6033,3014,40.722852,-73.959114
963,3017,40.751483,-73.996764
55,3019,40.716633,-73.981933
432,3020,40.6466068,-74.01597
